cross_pair,d0_cross,d0_same,abs_diff
block_cont_r12__cross_stall_occ_r3,0.051212,0.051245,3.3e-05
block_cont_r12__cross_stall_occ_r4,0.090964,0.090856,0.000108
block_cont_r12__cross_stall_occ_r5,0.046028,0.046006,2.2e-05
block_cont_r12__cross_stall_occ_r6,0.043399,0.043272,0.000127
block_cont_r12__cross_stall_occ_r7,0.01929,0.019343,5.3e-05
block_cont_r12__cross_stall_occ_r8,0.025693,0.025626,6.7e-05
block_cont_r12__cross_stall_occ_r9,0.037597,0.03749,0.000107
block_cont_r12__cross_stall_r1,0.347683,0.347515,0.000168
block_cont_r12__cross_stall_r10,0.343053,0.343016,3.7e-05
block_cont_r12__cross_stall_r11,0.355076,0.355097,2.1e-05
block_cont_r12__cross_stall_r12,0.342514,0.342599,8.5e-05
block_cont_r12__cross_stall_r2,0.357731,0.35773,1e-06
block_cont_r12__cross_stall_r3,0.337798,0.33782,2.2e-05
block_cont_r12__cross_stall_r4,0.346748,0.346748,0.0
block_cont_r12__cross_stall_r5,0.335524,0.335512,1.2e-05
block_cont_r12__cross_stall_r6,0.342938,0.342918,2e-05
block_cont_r12__cross_stall_r7,0.343392,0.343291,0.000101
block_cont_r12__cross_stall_r8,0.354062,0.354037,2.5e-05
block_cont_r12__cross_stall_r9,0.343595,0.343624,2.9e-05
block_cont_r12__lead_cont_r1,0.028062,0.028153,9.1e-05
block_cont_r12__lead_cont_r10,0.084378,0.08433,4.8e-05
block_cont_r12__lead_cont_r11,0.079392,0.079426,3.4e-05
block_cont_r12__lead_cont_r12,0.0624,0.062348,5.2e-05
block_cont_r12__lead_cont_r2,0.052125,0.0521,2.5e-05
block_cont_r12__lead_cont_r3,0.08123,0.081196,3.4e-05
block_cont_r12__lead_cont_r4,0.106395,0.106555,0.00016
block_cont_r12__lead_cont_r5,0.066915,0.066861,5.4e-05
block_cont_r12__lead_cont_r6,0.082923,0.082911,1.2e-05
block_cont_r12__lead_cont_r7,0.062573,0.062552,2.1e-05
block_cont_r12__lead_cont_r8,0.083833,0.083961,0.000128
block_cont_r12__lead_cont_r9,0.072004,0.071936,6.8e-05
block_cont_r12__lead_nec_r1,0.365588,0.365582,6e-06
block_cont_r12__lead_nec_r10,0.373775,0.373799,2.4e-05
block_cont_r12__lead_nec_r11,0.369986,0.370182,0.000196
block_cont_r12__lead_nec_r12,0.387454,0.388017,0.000563
block_cont_r12__lead_nec_r2,0.389657,0.388913,0.000744
block_cont_r12__lead_nec_r3,0.371832,0.371865,3.3e-05
