pair_id,pair_type,state_i,state_j,probe_action,d0_mean,d1_action,feasibility_agree,both_valid,both_infeasible,one_valid
c1_block_cont_01__c1_cross_stall_occ_04,cross,c1_block_cont_01,c1_cross_stall_occ_04,U1,0.088373,0.061275,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_04,cross,c1_block_cont_01,c1_cross_stall_occ_04,U2,0.088373,0.06304,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_04,cross,c1_block_cont_01,c1_cross_stall_occ_04,U3,0.088373,0.056696,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_04,cross,c1_block_cont_01,c1_cross_stall_occ_04,U4,0.088373,0.045798,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_04,cross,c1_block_cont_01,c1_cross_stall_occ_04,U5,0.088373,0.010857,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_04,cross,c1_block_cont_01,c1_cross_stall_occ_04,U6,0.088373,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_04,cross,c1_block_cont_01,c1_cross_stall_occ_04,U7,0.088373,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_05,cross,c1_block_cont_01,c1_cross_stall_occ_05,U0,0.060216,0.017237,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_05,cross,c1_block_cont_01,c1_cross_stall_occ_05,U1,0.060216,0.043797,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_05,cross,c1_block_cont_01,c1_cross_stall_occ_05,U2,0.060216,0.027634,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_05,cross,c1_block_cont_01,c1_cross_stall_occ_05,U3,0.060216,0.110973,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_05,cross,c1_block_cont_01,c1_cross_stall_occ_05,U4,0.060216,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_05,cross,c1_block_cont_01,c1_cross_stall_occ_05,U5,0.060216,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_05,cross,c1_block_cont_01,c1_cross_stall_occ_05,U6,0.060216,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_05,cross,c1_block_cont_01,c1_cross_stall_occ_05,U7,0.060216,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_06,cross,c1_block_cont_01,c1_cross_stall_occ_06,U0,0.036136,0.008974,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_06,cross,c1_block_cont_01,c1_cross_stall_occ_06,U1,0.036136,0.033633,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_06,cross,c1_block_cont_01,c1_cross_stall_occ_06,U2,0.036136,0.027667,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_06,cross,c1_block_cont_01,c1_cross_stall_occ_06,U3,0.036136,0.030377,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_06,cross,c1_block_cont_01,c1_cross_stall_occ_06,U4,0.036136,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_06,cross,c1_block_cont_01,c1_cross_stall_occ_06,U5,0.036136,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_06,cross,c1_block_cont_01,c1_cross_stall_occ_06,U6,0.036136,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_06,cross,c1_block_cont_01,c1_cross_stall_occ_06,U7,0.036136,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_07,cross,c1_block_cont_01,c1_cross_stall_occ_07,U0,0.088584,0.067527,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_07,cross,c1_block_cont_01,c1_cross_stall_occ_07,U1,0.088584,0.082788,1,1,0,0
