pair_id,state_i,state_j,coarse_i,coarse_j,same_coarse,d0_mean,d0_max,d1_mean,d1_max,closure_drift,n_common_actions,pair_type
block_cont_r10__cross_stall_occ_r6,block_cont_r10,cross_stall_occ_r6,block_or_occupancy,cross,0,0.39925,1.0,0.230725,0.528153,-0.168525,8,cross
block_cont_r10__cross_stall_occ_r7,block_cont_r10,cross_stall_occ_r7,block_or_occupancy,cross,0,0.398462,1.0,0.281567,0.540536,-0.116895,8,cross
block_cont_r10__cross_stall_occ_r8,block_cont_r10,cross_stall_occ_r8,block_or_occupancy,cross,0,0.420687,1.0,0.289114,0.529422,-0.131573,8,cross
block_cont_r10__cross_stall_occ_r9,block_cont_r10,cross_stall_occ_r9,block_or_occupancy,cross,0,0.139,1.0,0.068889,0.253481,-0.070111,8,cross
block_cont_r10__cross_stall_r1,block_cont_r10,cross_stall_r1,block_or_occupancy,cross,0,0.893038,1.0,0.705721,0.961799,-0.187317,8,cross
block_cont_r10__cross_stall_r10,block_cont_r10,cross_stall_r10,block_or_occupancy,cross,0,0.893038,1.0,0.705721,0.961799,-0.187317,8,cross
block_cont_r10__cross_stall_r11,block_cont_r10,cross_stall_r11,block_or_occupancy,cross,0,0.889775,1.0,0.633231,0.880017,-0.256544,8,cross
block_cont_r10__cross_stall_r12,block_cont_r10,cross_stall_r12,block_or_occupancy,cross,0,0.893038,1.0,0.689557,0.935471,-0.203481,8,cross
block_cont_r10__cross_stall_r2,block_cont_r10,cross_stall_r2,block_or_occupancy,cross,0,0.893038,1.0,0.705721,0.961799,-0.187317,8,cross
block_cont_r10__cross_stall_r3,block_cont_r10,cross_stall_r3,block_or_occupancy,cross,0,0.888112,1.0,0.690096,0.937061,-0.198016,8,cross
block_cont_r10__cross_stall_r4,block_cont_r10,cross_stall_r4,block_or_occupancy,cross,0,0.893038,1.0,0.705721,0.961799,-0.187317,8,cross
block_cont_r10__cross_stall_r5,block_cont_r10,cross_stall_r5,block_or_occupancy,cross,0,0.858137,1.0,0.617802,0.88764,-0.240335,8,cross
block_cont_r10__cross_stall_r6,block_cont_r10,cross_stall_r6,block_or_occupancy,cross,0,0.893038,1.0,0.705721,0.961799,-0.187317,8,cross
block_cont_r10__cross_stall_r7,block_cont_r10,cross_stall_r7,block_or_occupancy,cross,0,0.893038,1.0,0.705721,0.961799,-0.187317,8,cross
block_cont_r10__cross_stall_r8,block_cont_r10,cross_stall_r8,block_or_occupancy,cross,0,0.893038,1.0,0.705721,0.961799,-0.187317,8,cross
block_cont_r10__cross_stall_r9,block_cont_r10,cross_stall_r9,block_or_occupancy,cross,0,0.893038,1.0,0.688755,0.933972,-0.204283,8,cross
block_cont_r10__lead_cont_r1,block_cont_r10,lead_cont_r1,block_or_occupancy,lead,0,0.42445,1.0,0.290642,0.530934,-0.133808,8,cross
block_cont_r10__lead_cont_r10,block_cont_r10,lead_cont_r10,block_or_occupancy,lead,0,0.339325,1.0,0.218595,0.479394,-0.12073,8,cross
block_cont_r10__lead_cont_r11,block_cont_r10,lead_cont_r11,block_or_occupancy,lead,0,0.188125,1.0,0.089517,0.294164,-0.098608,8,cross
block_cont_r10__lead_cont_r12,block_cont_r10,lead_cont_r12,block_or_occupancy,lead,0,0.47995,1.0,0.292444,0.627871,-0.187506,8,cross
block_cont_r10__lead_cont_r2,block_cont_r10,lead_cont_r2,block_or_occupancy,lead,0,0.475662,1.0,0.32745,0.633959,-0.148212,8,cross
