state_id,coarse_mechanism,fine_mechanism,param_group_id,M_U0,V_U0,M_U1,V_U1,M_U2,V_U2,M_U3,V_U3,M_U4,V_U4,M_U5,V_U5,M_U6,V_U6,M_U7,V_U7,datarow_valid,health_reason
lead_nec_r11,lead,lead_nec,lead_nec|v7|s6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_nec_r12,lead,lead_nec,lead_nec|v8|s7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_nec_r2,lead,lead_nec,lead_nec|v6|s5,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_nec_r3,lead,lead_nec,lead_nec|v7|s5,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_nec_r4,lead,lead_nec,lead_nec|v7|s6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_nec_r5,lead,lead_nec,lead_nec|v8|s6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_nec_r6,lead,lead_nec,lead_nec|v8|s7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_nec_r7,lead,lead_nec,lead_nec|v8|s7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_nec_r8,lead,lead_nec,lead_nec|v9|s7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_nec_r9,lead,lead_nec,lead_nec|v9|s8,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_opt_r1,lead,lead_opt,lead_opt|v6|s6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_opt_r10,lead,lead_opt,lead_opt|v8|s7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_opt_r11,lead,lead_opt,lead_opt|v6|s6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_opt_r12,lead,lead_opt,lead_opt|v7|s7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_opt_r2,lead,lead_opt,lead_opt|v6|s6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_opt_r3,lead,lead_opt,lead_opt|v7|s6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_opt_r4,lead,lead_opt,lead_opt|v7|s6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_opt_r5,lead,lead_opt,lead_opt|v8|s7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_opt_r6,lead,lead_opt,lead_opt|v8|s7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_opt_r7,lead,lead_opt,lead_opt|v9|s7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_opt_r8,lead,lead_opt,lead_opt|v9|s7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_opt_r9,lead,lead_opt,lead_opt|v7|s6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
temp_opt_r1,block_or_occupancy,temp_opt,temp_opt|v6|o6,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
temp_opt_r10,block_or_occupancy,temp_opt,temp_opt|v6|o7,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
